,Keys,Values,Z,S,K
134,"('01bd8f8a-3dc6-4391-ad74-07f24c81f149', 'W2', 2)",0.0,01bd8f8a-3dc6-4391-ad74-07f24c81f149,W2,2
135,"('01bd8f8a-3dc6-4391-ad74-07f24c81f149', 'W2', 3)",0.0,01bd8f8a-3dc6-4391-ad74-07f24c81f149,W2,3
136,"('01c207eb-b528-481e-a131-7fea792606b2', 'W1', 0)",0.0,01c207eb-b528-481e-a131-7fea792606b2,W1,0
137,"('01c207eb-b528-481e-a131-7fea792606b2', 'W1', 1)",0.0,01c207eb-b528-481e-a131-7fea792606b2,W1,1
138,"('01c207eb-b528-481e-a131-7fea792606b2', 'W1', 2)",0.0,01c207eb-b528-481e-a131-7fea792606b2,W1,2
139,"('01c207eb-b528-481e-a131-7fea792606b2', 'W1', 3)",1.0,01c207eb-b528-481e-a131-7fea792606b2,W1,3
140,"('01caa447-5f93-4d40-8828-65362e526b9a', 'W2', 0)",1.0,01caa447-5f93-4d40-8828-65362e526b9a,W2,0
141,"('01caa447-5f93-4d40-8828-65362e526b9a', 'W2', 1)",0.0,01caa447-5f93-4d40-8828-65362e526b9a,W2,1
142,"('01caa447-5f93-4d40-8828-65362e526b9a', 'W2', 2)",0.0,01caa447-5f93-4d40-8828-65362e526b9a,W2,2
143,"('01caa447-5f93-4d40-8828-65362e526b9a', 'W2', 3)",0.0,01caa447-5f93-4d40-8828-65362e526b9a,W2,3
144,"('01d7119c-4d5b-46e6-a302-85f7fe94b529', 'RC', 0)",1.0,01d7119c-4d5b-46e6-a302-85f7fe94b529,RC,0
145,"('01d7119c-4d5b-46e6-a302-85f7fe94b529', 'RC', 1)",0.0,01d7119c-4d5b-46e6-a302-85f7fe94b529,RC,1
146,"('01d7119c-4d5b-46e6-a302-85f7fe94b529', 'RC', 2)",0.0,01d7119c-4d5b-46e6-a302-85f7fe94b529,RC,2
147,"('01d7119c-4d5b-46e6-a302-85f7fe94b529', 'RC', 3)",0.0,01d7119c-4d5b-46e6-a302-85f7fe94b529,RC,3
148,"('02053cf7-3983-4902-bafd-2087e758414b', 'RC', 0)",1.0,02053cf7-3983-4902-bafd-2087e758414b,RC,0
149,"('02053cf7-3983-4902-bafd-2087e758414b', 'RC', 1)",0.0,02053cf7-3983-4902-bafd-2087e758414b,RC,1
150,"('02053cf7-3983-4902-bafd-2087e758414b', 'RC', 2)",0.0,02053cf7-3983-4902-bafd-2087e758414b,RC,2
151,"('02053cf7-3983-4902-bafd-2087e758414b', 'RC', 3)",0.0,02053cf7-3983-4902-bafd-2087e758414b,RC,3
152,"('021f7139-ddc0-482a-95a0-1844cfc8b311', 'RC', 0)",1.0,021f7139-ddc0-482a-95a0-1844cfc8b311,RC,0
153,"('021f7139-ddc0-482a-95a0-1844cfc8b311', 'RC', 1)",0.0,021f7139-ddc0-482a-95a0-1844cfc8b311,RC,1
154,"('021f7139-ddc0-482a-95a0-1844cfc8b311', 'RC', 2)",0.0,021f7139-ddc0-482a-95a0-1844cfc8b311,RC,2
155,"('021f7139-ddc0-482a-95a0-1844cfc8b311', 'RC', 3)",0.0,021f7139-ddc0-482a-95a0-1844cfc8b311,RC,3
156,"('02220913-4951-4265-8690-21e2f48baf88', 'W1', 0)",0.0,02220913-4951-4265-8690-21e2f48baf88,W1,0
