,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,truedislocationcount,K',Sc
465,0188ebe3-8d63-43ac-89e3-74999d3e5050,W1,0,50111.0,44802.02929824436,810.0184837588974,1.0,3.0,0.8565297734401789,2.569589320320537,3.0,1,15033.3
466,0188ebe3-8d63-43ac-89e3-74999d3e5050,W1,0,50111.0,44802.02929824436,810.0184837588974,1.0,3.0,0.8565297734401789,2.569589320320537,3.0,2,50111.0
467,0188ebe3-8d63-43ac-89e3-74999d3e5050,W1,0,50111.0,44802.02929824436,810.0184837588974,1.0,3.0,0.8565297734401789,2.569589320320537,3.0,3,65144.3
480,018a5270-1dc4-4a32-abe2-ce907f6d94ab,RC,0,316800.0,218241.9848265689,579.9001743485412,1.0,0.0,0.6297517385294341,0.0,0.0,0,0.0
481,018a5270-1dc4-4a32-abe2-ce907f6d94ab,RC,0,316800.0,218241.9848265689,579.9001743485412,1.0,0.0,0.6297517385294341,0.0,0.0,1,95040.0
482,018a5270-1dc4-4a32-abe2-ce907f6d94ab,RC,0,316800.0,218241.9848265689,579.9001743485412,1.0,0.0,0.6297517385294341,0.0,0.0,2,316800.0
483,018a5270-1dc4-4a32-abe2-ce907f6d94ab,RC,0,316800.0,218241.9848265689,579.9001743485412,1.0,0.0,0.6297517385294341,0.0,0.0,3,411840.0
496,0199389e-f518-4658-9013-84efc2963dac,RC,0,70480.0,31034.91606744792,341.0678229570298,1.0,1.0,0.6311298503490745,0.6311298503490745,1.0,0,0.0
497,0199389e-f518-4658-9013-84efc2963dac,RC,0,70480.0,31034.91606744792,341.0678229570298,1.0,1.0,0.6311298503490745,0.6311298503490745,1.0,1,21144.0
498,0199389e-f518-4658-9013-84efc2963dac,RC,0,70480.0,31034.91606744792,341.0678229570298,1.0,1.0,0.6311298503490745,0.6311298503490745,1.0,2,70480.0
499,0199389e-f518-4658-9013-84efc2963dac,RC,0,70480.0,31034.91606744792,341.0678229570298,1.0,1.0,0.6311298503490745,0.6311298503490745,1.0,3,91624.0
512,01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788,W1,0,68682.0,61665.36814698533,813.7405755934863,1.0,0.0,0.8532126933615894,0.0,0.0,0,0.0
513,01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788,W1,0,68682.0,61665.36814698533,813.7405755934863,1.0,0.0,0.8532126933615894,0.0,0.0,1,20604.6
514,01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788,W1,0,68682.0,61665.36814698533,813.7405755934863,1.0,0.0,0.8532126933615894,0.0,0.0,2,68682.0
515,01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788,W1,0,68682.0,61665.36814698533,813.7405755934863,1.0,0.0,0.8532126933615894,0.0,0.0,3,89286.6
528,01bd8f8a-3dc6-4391-ad74-07f24c81f149,W2,0,62805.0,10959.780809140892,114.41992140517333,1.0,5.0,0.5160136930389743,2.5800684651948713,5.0,0,0.0
529,01bd8f8a-3dc6-4391-ad74-07f24c81f149,W2,0,62805.0,10959.780809140892,114.41992140517333,1.0,5.0,0.5160136930389743,2.5800684651948713,5.0,1,18841.5
530,01bd8f8a-3dc6-4391-ad74-07f24c81f149,W2,0,62805.0,10959.780809140892,114.41992140517333,1.0,5.0,0.5160136930389743,2.5800684651948713,5.0,2,62805.0
