guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair
fd62ba92-ddb5-4395-8b2c-f8981d368ab4,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,0.0,1994,W1,0.0,58.87389277569678
9d3880ba-db8e-4cce-ad0b-7599d5e9c25f,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,29834.0,1940,W1,6400.81255119969,73.99759738263234
c7800469-57ee-4683-8c04-2d6dfd7f05e0,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,32455.0,1940,W1,6963.141762726618,73.99759738263234
1d80684f-bfb2-4d4d-b65c-5beb8816867c,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,0.0,1994,W1,0.0,58.87389277569678
b0015434-686e-434c-b4aa-ad582cedb441,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,0.0,1996,W1,0.0,55.16550262541375
b4c17587-dca5-4aa5-9919-3b8d351b21b4,0.5832093778,0.1436978454,0.0382534996,0.4167906221999999,0.4395115324,0.1054443458,0.0382534996,Earthquake+Tsunami,0.0,2007,W1,0.0,52.1710451251545
73e4efee-4dda-488a-ada7-38592a5ed088,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,0.0,1996,W1,0.0,55.16550262541375
c91da672-d837-4794-a6fc-63a7f6c2e3ae,0.6198920526,0.225162643,0.0541313551,0.3801079474,0.3947294096,0.1710312879,0.0541313551,Earthquake+Tsunami,0.0,1971,W1,0.0,70.49297142081087
a76b60c9-2856-4933-9775-9d7089554768,0.7411567238,0.3652862528,0.1030894107,0.2588432762,0.375870471,0.2621968421,0.1030894107,Earthquake+Tsunami,612116.0,0,RC,181518.63674182387,108.38388678636888
66d39314-1c68-4634-a82c-8fcb37f529ff,0.5395498009,0.1562452902,0.0258870281,0.4604501990999999,0.3833045107,0.1303582621,0.0258870281,Earthquake+Tsunami,91412.0,1979,W1,14325.158029183787,50.309598860624945
af7820a1-3bc1-43d6-8858-d1520764c08d,0.603691793,0.1968820293,0.0372894607,0.396308207,0.4068097637,0.1595925686,0.0372894607,Earthquake+Tsunami,0.0,1994,W1,0.0,61.7047357370527
5931b708-38ad-407a-99e9-ed63d1696039,0.603691793,0.1968820293,0.0372894607,0.396308207,0.4068097637,0.1595925686,0.0372894607,Earthquake+Tsunami,0.0,1980,W1,0.0,61.7047357370527
194d35d8-57bc-4542-a755-381102a7fa8f,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1978,W1,0.0,84.28200387515822
483af357-99ae-4a71-892d-116e38e8eafe,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1977,W1,0.0,84.28200387515822
