guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated
70ff551c-b655-4881-b6c6-ae2ba91bdfb3,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,2000,W1,0.0,476.4266550712868,1
353f91fd-15aa-4ef4-942a-fadefca3c29a,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,12748.0,1935,W1,7908.814893758714,520.4933273591503,0
91a9981e-5d91-445b-9091-aa0441578a3b,0.9687707537,0.6395885304,0.2638634159,0.0312292463,0.3291822233,0.3757251144999999,0.2638634159,Earthquake+Tsunami,19903.0,2008,W1,9858.060950581585,390.9466964458583,0
42b54f41-bd9b-4240-bb0b-fd9f7c9c6950,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1966,W1,0.0,520.4933273591503,1
7754c721-5356-497b-8102-de616c81c24e,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1994,W1,0.0,463.5325739152804,1
71dc372e-ec36-4f10-a4f5-3ef0a9455a2d,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1970,W1,0.0,520.4933273591503,1
2b998732-3ef3-4e26-8074-b1cfbdfbcbb2,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,208034.0,1937,W1,128148.28332863929,516.0862969155197,0
c448696a-0015-4b44-bb50-916a32c0a6be,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1995,W1,0.0,476.4266550712868,1
def57539-c284-42b3-952a-e02b232e7629,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,155074.0,1932,W1,95525.09151823937,516.0862969155197,0
156275f9-642a-4002-9be9-11ab1616eff5,0.75335902,0.3072615333,0.0677467476,0.24664098,0.4460974867,0.2395147857,0.0677467476,Earthquake+Tsunami,0.0,2004,W2,0.0,183.44784026081172,0
70774921-c6f5-4a81-bbf6-86940db0227d,0.75335902,0.3072615333,0.0677467476,0.24664098,0.4460974867,0.2395147857,0.0677467476,Earthquake+Tsunami,0.0,2004,W2,0.0,183.44784026081172,1
