guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated,numprec,prdis
4502c6ff-5578-4cb3-ba2f-61bf89ee60ca,0.9565507145901454,0.6982421737671867,0.1764257370648044,0.0434492854098546,0.2583085408229587,0.5218164367023822,0.1764257370648044,Earthquake+Tsunami,220529.0,2003,RC,107185.31395367306,374.3930250904504,,,
fb1ff18c-40d4-4161-84f7-5edf2b382666,0.9565507145901454,0.6982421737671867,0.1764257370648044,0.0434492854098546,0.2583085408229587,0.5218164367023822,0.1764257370648044,Earthquake+Tsunami,206102.0,2003,RC,100173.2542045714,374.3930250904504,,,
1e546cc9-0ba4-4ef1-bc04-5e49aff0c56d,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,252483.0,2003,RC,122193.12464795896,372.4932927921698,,,
a76199ab-676f-4321-b928-2764ab08a484,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,192619.0,2003,RC,93220.99894474166,372.4932927921698,,,
ed22f66f-7e24-4bc6-8bf2-be3009900d31,0.7322766942,0.3277134945,0.0977460084,0.2677233058,0.4045631997,0.2299674860999999,0.0977460084,Earthquake+Tsunami,145889.0,1967,W1,40630.00442248387,201.2166548787155,0.0,2.0,0.5670966484507829
ec650450-c0a2-4235-9e6a-5f57f65b5def,0.9464091181617704,0.6425774980509861,0.1582530710858261,0.0535908818382296,0.3038316201107842,0.4843244269651598,0.1582530710858261,Earthquake+Tsunami,192692.0,2003,RC,87899.9347258127,347.37311444266777,,,
5a9f6232-b4cf-4ab2-a72d-ccf74d1557a2,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,235966.0,2003,RC,114199.46234273312,372.4932927921698,,,
d3eacc3c-fa7a-4888-9e7f-68d14c9de507,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,220529.0,2003,RC,106728.48304832302,372.4932927921698,,,
bc9f7bbb-4d26-451c-ae54-5c2e2ecf6995,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,206102.0,2003,RC,99746.30916217582,372.4932927921698,,,
6a8bde55-5658-40e7-af2a-6254a4ec5705,0.9552146016415608,0.6908319321946861,0.1734933890642902,0.0447853983584392,0.2643826694468747,0.5173385431303958,0.1734933890642902,Earthquake+Tsunami,93303.0,2003,RC,44961.17523347381,370.5876672897139,,,
