,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,b,Q_t_hat
9632,80449d79-bf5a-48a5-8dc7-b6790f529940,W2,0,186263.0,167476.1006427571,815.0111849424429,1.0,0.0,0.7886090448501938,0.0,1,0.17418490808772022
9633,80449d79-bf5a-48a5-8dc7-b6790f529940,W2,1,186263.0,167459.93148882076,814.9346131149346,1.0,0.0,0.7885529620069701,0.0,0,0.17416854308932134
9634,80449d79-bf5a-48a5-8dc7-b6790f529940,W2,2,186263.0,48619.96797176618,181.7250690732332,1.0,0.0,0.4175593346119473,0.0,0,0.038838441776711516
9635,80449d79-bf5a-48a5-8dc7-b6790f529940,W2,3,186263.0,167476.1006427571,407.5055924712215,1.0,0.0,0.7886090448501938,0.0,0,0.08709245404386012
9636,80552e8f-6462-4e92-8baf-d05b0d3520a1,W1,0,8908.0,7801.521202434046,790.2894920936508,1.0,2.0,0.8248466985888796,1.6496933971777592,1,0.16890136612388348
9637,80552e8f-6462-4e92-8baf-d05b0d3520a1,W1,1,8908.0,7709.115967915068,779.5130030215647,1.0,2.0,0.8194655422447291,1.6389310844894582,0,0.166598205390375
9638,80552e8f-6462-4e92-8baf-d05b0d3520a1,W1,2,8908.0,5526.492239849594,520.4933273591503,1.0,2.0,0.7025168210205097,1.4050336420410194,0,0.1112402922332016
9639,80552e8f-6462-4e92-8baf-d05b0d3520a1,W1,3,8908.0,7801.521202434046,395.1447460468254,1.0,2.0,0.8248466985888796,1.6496933971777592,0,0.08445068306194174
9640,80591a2e-b9a9-4d22-9c21-1ff393a96dde,W1,0,93521.0,84168.85299099406,815.8663556264501,1.0,1.0,0.7898922854466807,0.7898922854466807,1,0.17436767591930968
9641,80591a2e-b9a9-4d22-9c21-1ff393a96dde,W1,1,93521.0,84168.83301378925,815.866134141871,1.0,1.0,0.7898921632321302,0.7898921632321302,0,0.17436762858343044
9642,80591a2e-b9a9-4d22-9c21-1ff393a96dde,W1,2,93521.0,57608.63899736425,516.0862969155197,1.0,1.0,0.6374071837545235,0.6374071837545235,0,0.11029841780626623
9643,80591a2e-b9a9-4d22-9c21-1ff393a96dde,W1,3,93521.0,84168.85299099406,407.933177813225,1.0,1.0,0.7898922854466807,0.7898922854466807,0,0.08718383795965483
9644,805cddb6-6e1d-490b-b6cb-9100767ac46d,RC,0,172824.0,150569.05639072176,782.5619247893679,0.0,0.0,0.0,0.0,1,0.1672498236352571
9645,805cddb6-6e1d-490b-b6cb-9100767ac46d,RC,1,172824.0,146308.81854304965,754.1373313173145,0.0,0.0,0.0,0.0,0,0.16117489448970176
9646,805cddb6-6e1d-490b-b6cb-9100767ac46d,RC,2,172824.0,114208.33617413252,555.6390268896671,0.0,0.0,0.0,0.0,0,0.11875166208370744
9647,805cddb6-6e1d-490b-b6cb-9100767ac46d,RC,3,172824.0,150569.05639072176,391.280962394684,0.0,0.0,0.0,0.0,0,0.08362491181762856
9648,8072fe94-0d3c-43b8-84ec-066bbac1b4b5,W1,0,0.0,0.0,806.6005590758233,1.0,2.0,0.8378741785941661,1.6757483571883323,1,0.17238738172169765
9649,8072fe94-0d3c-43b8-84ec-066bbac1b4b5,W1,1,0.0,0.0,806.6005590758233,1.0,2.0,0.8378741785941661,1.6757483571883323,0,0.17238738172169765
9650,8072fe94-0d3c-43b8-84ec-066bbac1b4b5,W1,2,0.0,0.0,396.0439829547124,1.0,2.0,0.6458841867266752,1.2917683734533505,0,0.08464286876570046
9651,8072fe94-0d3c-43b8-84ec-066bbac1b4b5,W1,3,0.0,0.0,403.3002795379117,1.0,2.0,0.8378741785941661,1.6757483571883323,0,0.08619369086084884
9652,807f2e0f-0715-4eaa-9d9e-96bae140af32,RC,0,268366.0,219846.98544860003,722.7297996856094,0.0,0.0,0.0,0.0,1,0.15446244917409901
9653,807f2e0f-0715-4eaa-9d9e-96bae140af32,RC,1,268366.0,214001.5077532229,697.7815453812746,0.0,0.0,0.0,0.0,0,0.14913048629648953
9654,807f2e0f-0715-4eaa-9d9e-96bae140af32,RC,2,268366.0,150840.35446791607,452.333322254278,0.0,0.0,0.0,0.0,0,0.0966730759252571
9655,807f2e0f-0715-4eaa-9d9e-96bae140af32,RC,3,268366.0,219846.98544860003,361.3648998428047,0.0,0.0,0.0,0.0,0,0.07723122458704951
9656,807fc18b-8bb9-4079-9da4-75246b576f41,W2,0,193194.0,52752.74671473877,192.77534024777168,1.0,2.0,0.4908040580604832,0.9816081161209664,1,0.041200115462229465
9657,807fc18b-8bb9-4079-9da4-75246b576f41,W2,1,193194.0,39515.48332649697,131.08088908047034,1.0,2.0,0.4563563984699063,0.9127127969398126,0,0.028014723034937024
9658,807fc18b-8bb9-4079-9da4-75246b576f41,W2,2,193194.0,52752.74671473877,192.77534024777168,1.0,2.0,0.4908040580604832,0.9816081161209664,0,0.041200115462229465
9659,807fc18b-8bb9-4079-9da4-75246b576f41,W2,3,193194.0,52752.74671473877,96.38767012388584,1.0,2.0,0.4908040580604832,0.9816081161209664,0,0.020600057731114733
9660,808a12c3-1aca-4a7f-ae5c-ae74c1d1914b,W1,0,76358.0,68722.16686609125,815.8664281733526,0.0,2.0,0.8462457879193351,1.6924915758386703,1,0.17436769142409758
9661,808a12c3-1aca-4a7f-ae5c-ae74c1d1914b,W1,1,76358.0,68722.15278532378,815.8662369725571,0.0,2.0,0.8462456910917516,1.6924913821835033,0,0.17436765056049522
9662,808a12c3-1aca-4a7f-ae5c-ae74c1d1914b,W1,2,76358.0,47036.28550337079,516.0862969155197,0.0,2.0,0.7017657235861201,1.4035314471722402,0,0.11029841780626623
9663,808a12c3-1aca-4a7f-ae5c-ae74c1d1914b,W1,3,76358.0,68722.16686609125,407.9332140866763,0.0,2.0,0.8462457879193351,1.6924915758386703,0,0.08718384571204879
9664,80959310-25f0-4dcd-b222-afe40caeb094,W2,0,159229.0,131441.43499924068,741.7496582181996,1.0,1.0,0.8374387996904565,0.8374387996904565,1,0.15852739008724076
9665,80959310-25f0-4dcd-b222-afe40caeb094,W2,1,159229.0,130201.29656243004,734.8287005473985,1.0,1.0,0.833296211263912,0.833296211263912,0,0.1570482369197261
9666,80959310-25f0-4dcd-b222-afe40caeb094,W2,2,159229.0,43047.7293703013,189.5641196838804,1.0,1.0,0.5933782014669782,0.5933782014669782,0,0.04051381057573849
9667,80959310-25f0-4dcd-b222-afe40caeb094,W2,3,159229.0,131441.43499924068,370.8748291090998,1.0,1.0,0.8374387996904565,0.8374387996904565,0,0.07926369504362038
9668,80b2219f-7f4e-4074-8d58-943c7c4d2cd6,RC,0,232071.0,153624.06399008608,548.7260166532868,0.0,0.0,0.0,0.0,1,0.11727420744887515
9669,80b2219f-7f4e-4074-8d58-943c7c4d2cd6,RC,1,232071.0,140733.57357793231,488.7968298005844,0.0,0.0,0.0,0.0,0,0.10446608886526702
9670,80b2219f-7f4e-4074-8d58-943c7c4d2cd6,RC,2,232071.0,128632.76296070812,444.7107672747661,0.0,0.0,0.0,0.0,0,0.09504397676314728
9671,80b2219f-7f4e-4074-8d58-943c7c4d2cd6,RC,3,232071.0,153624.06399008608,274.3630083266434,0.0,0.0,0.0,0.0,0,0.058637103724437575
9672,80b4184d-4c2d-4a24-8c7a-f5725b6fef1e,RC,0,178255.0,153371.22275779114,770.089977036185,0.0,0.0,0.7568830556098878,0.0,1,0.16458430797952234
9673,80b4184d-4c2d-4a24-8c7a-f5725b6fef1e,RC,1,178255.0,147534.21833447684,732.4283276819366,0.0,0.0,0.7395727322052754,0.0,0,0.1565352271173192
9674,80b4184d-4c2d-4a24-8c7a-f5725b6fef1e,RC,2,178255.0,117797.33697125394,555.6390268896671,0.0,0.0,0.6446539139021741,0.0,0,0.11875166208370744
9675,80b4184d-4c2d-4a24-8c7a-f5725b6fef1e,RC,3,178255.0,153371.22275779114,385.0449885180925,0.0,0.0,0.7568830556098878,0.0,0,0.08229215398976117
9676,80bb0cb1-44cb-4b93-945d-809f371bd584,W1,0,147334.0,132597.52481278084,815.8448544632441,1.0,2.0,0.8494635874031821,1.6989271748063641,1,0.17436308067177692
9677,80bb0cb1-44cb-4b93-945d-809f371bd584,W1,1,147334.0,132596.21796436637,815.8356575911007,1.0,2.0,0.8494590531469324,1.6989181062938647,0,0.1743611151081643
9678,80bb0cb1-44cb-4b93-945d-809f371bd584,W1,2,147334.0,90757.27609881914,516.0862969155197,1.0,2.0,0.7094701164898495,1.418940232979699,0,0.11029841780626623
9679,80bb0cb1-44cb-4b93-945d-809f371bd584,W1,3,147334.0,132597.52481278084,407.92242723162207,1.0,2.0,0.8494635874031821,1.6989271748063641,0,0.08718154033588846
9680,80bb82bb-a39b-4e98-887d-20c6c567fbbf,W1,0,2836.0,2552.2824438309653,815.8231320319853,0.0,0.0,0.7760129486919906,0.0,1,0.17435843813464103
9681,80bb82bb-a39b-4e98-887d-20c6c567fbbf,W1,1,2836.0,2552.232486517096,815.8048674067385,0.0,0.0,0.7760025469706703,0.0,0,0.17435453460285072
9682,80bb82bb-a39b-4e98-887d-20c6c567fbbf,W1,2,2836.0,1746.966993472322,516.0862969155197,0.0,0.0,0.609948951372888,0.0,0,0.11029841780626623
9683,80bb82bb-a39b-4e98-887d-20c6c567fbbf,W1,3,2836.0,2552.2824438309653,407.9115660159927,0.0,0.0,0.7760129486919906,0.0,0,0.08717921906732053
9684,80bbf7d4-56f9-4270-92fd-4489ca56342f,RC,0,120479.0,101857.8394168327,757.500518284836,0.0,0.0,0.0,0.0,1,0.16189367776978755
9685,80bbf7d4-56f9-4270-92fd-4489ca56342f,RC,1,120479.0,99727.18549001492,738.9648159852243,0.0,0.0,0.0,0.0,0,0.15793221115307207
9686,80bbf7d4-56f9-4270-92fd-4489ca56342f,RC,2,120479.0,51608.25796885645,333.1110432778207,0.0,0.0,0.0,0.0,0,0.07119278548361203
9687,80bbf7d4-56f9-4270-92fd-4489ca56342f,RC,3,120479.0,101857.8394168327,378.750259142418,0.0,0.0,0.0,0.0,0,0.08094683888489378
9688,80cf7823-af97-4643-a747-0f762ec5145f,RC,0,255356.0,169038.03786019114,548.7260166532868,0.0,0.0,0.0,0.0,1,0.11727420744887515
9689,80cf7823-af97-4643-a747-0f762ec5145f,RC,1,255356.0,154854.17141549994,488.7968298005844,0.0,0.0,0.0,0.0,0,0.10446608886526702
9690,80cf7823-af97-4643-a747-0f762ec5145f,RC,2,255356.0,141539.21781952327,444.7107672747661,0.0,0.0,0.0,0.0,0,0.09504397676314728
9691,80cf7823-af97-4643-a747-0f762ec5145f,RC,3,255356.0,169038.03786019114,274.3630083266434,0.0,0.0,0.0,0.0,0,0.058637103724437575
9692,80e74f2a-4c28-4071-8d3a-3cf2780aa856,W1,0,236479.0,137240.466029205,476.4266550712868,1.0,2.0,0.6778390762862612,1.3556781525725223,1,0.10182232422981125
9693,80e74f2a-4c28-4071-8d3a-3cf2780aa856,W1,1,236479.0,118382.20492492948,396.0439829547124,1.0,2.0,0.6364399236183873,1.2728798472367746,0,0.08464286876570046
